Roles,Spy,Result,Votes,Incorrect Votes
"['苹果', '苹果', '苹果', '橘子']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['月亮', '火星', '月亮', '月亮']",2,0,"{1: 0, 2: 3, 3: 1, 4: 0}",0
"['熊', '熊', '豹子', '熊']",3,0,"{1: 0, 2: 0, 3: 3, 4: 1}",0
"['葡萄', '菠萝', '葡萄', '葡萄']",2,1,"{1: 0, 2: 2, 3: 2, 4: 0}",1
"['西瓜', '西瓜', '菠萝', '西瓜']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['西瓜', '西瓜', '榴莲', '西瓜']",3,0,"{1: 0, 2: 0, 3: 3, 4: 1}",0
"['火车', '火车', '潜艇', '火车']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['火车', '火车', '汽车', '火车']",3,0,"{1: 0, 2: 0, 3: 3, 4: 1}",0
"['月亮', '地球', '月亮', '月亮']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['篮球', '排球', '篮球', '篮球']",2,2,"{1: 2, 2: 0, 3: 1, 4: 1}",3
"['苹果', '苹果', '苹果', '菠萝']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['老虎', '猴子', '老虎', '老虎']",2,0,"{1: 0, 2: 3, 3: 1, 4: 0}",0
"['火车', '火车', '汽车', '火车']",3,0,"{1: 0, 2: 0, 3: 3, 4: 1}",0
"['星星', '星星', '地球', '星星']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['篮球', '排球', '篮球', '篮球']",2,0,"{1: 0, 2: 3, 3: 0, 4: 1}",0
"['熊', '熊', '豹子', '熊']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['飞机', '飞机', '飞机', '轮船']",4,0,"{1: 0, 2: 0, 3: 0, 4: 4}",0
"['苹果', '苹果', '苹果', '榴莲']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['老虎', '老虎', '熊', '老虎']",3,0,"{1: 0, 2: 0, 3: 3, 4: 1}",0
"['老虎', '猴子', '老虎', '老虎']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['火车', '火车', '火车', '轮船']",4,0,"{1: 1, 2: 1, 3: 0, 4: 2}",1
"['篮球', '排球', '篮球', '篮球']",2,2,"{1: 0, 2: 1, 3: 2, 4: 1}",2
"['火车', '火车', '汽车', '火车']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['芒果', '芒果', '芒果', '榴莲']",4,0,"{1: 1, 2: 0, 3: 1, 4: 2}",1
"['篮球', '篮球', '网球', '篮球']",3,0,"{1: 1, 2: 0, 3: 2, 4: 1}",1
"['排球', '篮球', '排球', '排球']",2,2,"{1: 1, 2: 0, 3: 2, 4: 1}",3
"['芒果', '芒果', '芒果', '西瓜']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['月亮', '地球', '月亮', '月亮']",2,1,"{1: 1, 2: 1, 3: 1, 4: 1}",2
"['芒果', '菠萝', '芒果', '芒果']",3,1,"{1: 0, 2: 2, 3: 0, 4: 2}",3
"['熊', '熊', '熊', '狮子']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['芒果', '芒果', '芒果', '榴莲']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['篮球', '篮球', '篮球', '羽毛球']",4,2,"{1: 2, 2: 1, 3: 0, 4: 1}",2
"['火车', '火车', '火车', '汽车']",4,0,"{1: 1, 2: 0, 3: 1, 4: 2}",1
"['月亮', '星星', '月亮', '月亮']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['葡萄', '葡萄', '木瓜', '葡萄']",3,0,"{1: 1, 2: 0, 3: 2, 4: 1}",1
"['星星', '太阳', '星星', '星星']",2,2,"{1: 1, 2: 1, 3: 0, 4: 2}",2
"['火车', '火车', '火车', '汽车']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['篮球', '篮球', '篮球', '羽毛球']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['芒果', '菠萝', '芒果', '芒果']",3,2,"{1: 1, 2: 0, 3: 0, 4: 3}",3
"['飞机', '汽车', '飞机', '飞机']",3,2,"{1: 0, 2: 4, 3: 0, 4: 0}",3
"['芒果', '芒果', '芒果', '榴莲']",4,0,"{1: 1, 2: 1, 3: 0, 4: 2}",1
"['芒果', '芒果', '芒果', '榴莲']",4,2,"{1: 1, 2: 2, 3: 0, 4: 1}",2
"['苹果', '苹果', '苹果', '榴莲']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['火车', '火车', '火车', '轮船']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['老虎', '猴子', '老虎', '老虎']",2,0,"{1: 1, 2: 2, 3: 0, 4: 1}",1
"['葡萄', '菠萝', '葡萄', '葡萄']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['熊', '猴子', '熊', '熊']",2,0,"{1: 1, 2: 2, 3: 1, 4: 0}",1
"['排球', '排球', '排球', '篮球']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['葡萄', '葡萄', '香蕉', '葡萄']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['芒果', '芒果', '芒果', '西瓜']",4,0,"{1: 0, 2: 0, 3: 1, 4: 3}",1
"['苹果', '苹果', '香蕉', '苹果']",3,0,"{1: 1, 2: 0, 3: 2, 4: 1}",1
"['老虎', '老虎', '熊', '老虎']",3,2,"{1: 0, 2: 3, 3: 1, 4: 0}",2
"['篮球', '篮球', '篮球', '足球']",4,0,"{1: 1, 2: 0, 3: 1, 4: 2}",1
"['熊', '熊', '豹子', '熊']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['西瓜', '西瓜', '菠萝', '西瓜']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['葡萄', '葡萄', '木瓜', '葡萄']",3,0,"{1: 0, 2: 1, 3: 2, 4: 1}",1
"['火车', '火车', '潜艇', '火车']",3,0,"{1: 0, 2: 1, 3: 3, 4: 0}",0
"['老虎', '老虎', '熊', '老虎']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['排球', '排球', '排球', '篮球']",4,2,"{1: 0, 2: 1, 3: 2, 4: 1}",2
"['葡萄', '葡萄', '榴莲', '葡萄']",3,0,"{1: 1, 2: 0, 3: 3, 4: 0}",0
"['星星', '星星', '星星', '火星']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['月亮', '星星', '月亮', '月亮']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['飞机', '汽车', '飞机', '飞机']",3,2,"{1: 1, 2: 3, 3: 0, 4: 0}",3
"['苹果', '橘子', '苹果', '苹果']",2,0,"{1: 1, 2: 3, 3: 0, 4: 0}",0
"['芒果', '芒果', '芒果', '榴莲']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
"['芒果', '芒果', '芒果', '榴莲']",4,0,"{1: 1, 2: 0, 3: 0, 4: 3}",0
